Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
				Ссылка	820c0d30-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_568					
				Ссылка	820c0d2f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_569					
				Ссылка	820c0d2e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_570					
				Ссылка	820c0d2d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_571					
				Ссылка	820c0d2c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_572					
				Ссылка	820c0d2b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_573					
				Ссылка	820c0d2a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_574					
				Ссылка	820c0d29-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_575					
				Ссылка	820c0d28-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_576					
				Ссылка	820c0d27-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_577					
				Ссылка	820c0d26-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_578					
				Ссылка	820c0d25-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_579					
				Ссылка	820c0d24-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_580					
				Ссылка	820c0d23-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_581					
				Ссылка	820c0d22-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_582					
				Ссылка	820c0d21-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_583					
				Ссылка	820c0d20-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_584					
				Ссылка	820c0d1f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_585					
				Ссылка	820c0d1e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_586					
				Ссылка	820c0d1d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_587					
				Ссылка	820c0d1c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_588					
				Ссылка	820c0d1b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_589					
				Ссылка	820c0d1a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_590					
				Ссылка	820c0d19-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_591					
				Ссылка	820c0d18-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_592					
				Ссылка	820c0d17-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_593					
				Ссылка	820c0d16-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_594					
				Ссылка	820c0d15-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_595					
				Ссылка	820c0d14-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_596					
				Ссылка	820c0d13-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_597					
				Ссылка	820c0d12-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_598					
				Ссылка	820c0d11-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_599					
				Ссылка	820c0d10-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_600					
				Ссылка	820c0d0f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_601					
				Ссылка	820c0d0e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_602					
				Ссылка	820c0d0d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_603					
				Ссылка	820c0d0c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_604					
				Ссылка	820c0d0b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_605					
				Ссылка	820c0d0a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_606					
				Ссылка	820c0d09-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_607					
				Ссылка	820c0d08-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_608					
				Ссылка	820c0d07-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_609					
				Ссылка	820c0d06-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_610					
				Ссылка	820c0d05-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_611					
				Ссылка	820c0d04-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_612					
				Ссылка	820c0d03-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_613					
				Ссылка	820c0d02-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_614					
				Ссылка	820c0d01-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_615					
				Ссылка	820c0d00-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_616					
				Ссылка	820c0cff-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_617					
				Ссылка	820c0cfe-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_618					
				Ссылка	820c0cfd-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_619					
				Ссылка	820c0cfc-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_620					
				Ссылка	820c0cfb-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_621					
				Ссылка	820c0cfa-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_622					
				Ссылка	820c0cf9-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_623					
				Ссылка	820c0cf8-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_624					
				Ссылка	820c0cf7-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_625					
				Ссылка	820c0cf6-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_626					
				Ссылка	820c0cf5-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_627					
				Ссылка	820c0cf4-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_628					
				Ссылка	820c0cf3-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_629					
				Ссылка	820c0cf2-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_630					
				Ссылка	820c0cf1-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_631					
				Ссылка	820c0cf0-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_632					
				Ссылка	820c0cef-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_633					
				Ссылка	820c0cee-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_634					
				Ссылка	820c0ced-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_635					
				Ссылка	820c0cec-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_636					
				Ссылка	820c0ceb-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_637					
				Ссылка	820c0cea-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_638					
				Ссылка	820c0ce9-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_639					
				Ссылка	820c0ce8-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_640					
				Ссылка	820c0ce7-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_641					
				Ссылка	820c0ce6-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_642					
				Ссылка	820c0ce5-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_643					
				Ссылка	820c0ce4-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_644					
				Ссылка	820c0ce3-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_645					
				Ссылка	820c0ce2-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_646					
				Ссылка	820c0ce1-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_647					
				Ссылка	820c0ce0-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_648					
				Ссылка	820c0cdf-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_649					
				Ссылка	820c0cde-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_650					
				Ссылка	820c0cdd-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_651					
				Ссылка	820c0cdc-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_652					
				Ссылка	820c0cdb-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_653					
				Ссылка	820c0cda-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_654					
				Ссылка	820c0cd9-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_655					
				Ссылка	820c0cd8-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_656					
				Ссылка	820c0cd7-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_657					
				Ссылка	820c0cd6-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_658					
				Ссылка	820c0cd5-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_659					
				Ссылка	820c0cd4-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_660					
				Ссылка	820c0cd3-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_661					
				Ссылка	820c0cd2-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_662					
				Ссылка	820c0cd1-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_663					
				Ссылка	820c0cd0-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_664					
				Ссылка	820c0ccf-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_665					
				Ссылка	820c0cce-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_666					
				Ссылка	820c0ccd-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_667					
				Ссылка	820c0ccc-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_668					
				Ссылка	820c0ccb-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_669					
				Ссылка	820c0cca-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_670					
				Ссылка	820c0cc9-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_671					
				Ссылка	820c0cc8-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_672					
				Ссылка	820c0cc7-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_673					
				Ссылка	820c0cc6-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_674					
				Ссылка	820c0cc5-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_675					
				Ссылка	820c0cc4-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_676					
				Ссылка	820c0cc3-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_677					
				Ссылка	820c0cc2-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_678					
				Ссылка	820c0cc1-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_679					
				Ссылка	820c0cc0-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_680					
				Ссылка	820c0cbf-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_681					
				Ссылка	820c0cbe-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_682					
				Ссылка	820c0cbd-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_683					
				Ссылка	820c0cbc-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_684					
				Ссылка	820c0cbb-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_685					
				Ссылка	820c0cba-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_686					
				Ссылка	820c0cb9-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_687					
				Ссылка	820c0cb8-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_688					
				Ссылка	820c0cb7-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_689					
				Ссылка	820c0cb6-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_690					
				Ссылка	820c0cb5-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_691					
				Ссылка	820c0cb4-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_692					
				Ссылка	820c0cb3-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_693					
				Ссылка	820c0cb2-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_694					
				Ссылка	820c0cb1-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_695					
				Ссылка	820c0cb0-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_696					
				Ссылка	820c0caf-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_697					
				Ссылка	820c0cae-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_698					
				Ссылка	820c0cad-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_699					
				Ссылка	820c0cac-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_700					
				Ссылка	820c0cab-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_701					
				Ссылка	820c0caa-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_702					
				Ссылка	820c0ca9-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_703					
				Ссылка	820c0ca8-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_704					
				Ссылка	820c0ca7-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_705					
				Ссылка	820c0ca6-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_706					
				Ссылка	820c0ca5-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_707					
				Ссылка	820c0ca4-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_708					
				Ссылка	820c0ca3-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_709					
				Ссылка	820c0ca2-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_710					
				Ссылка	820c0ca1-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_711					
				Ссылка	820c0ca0-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_712					
				Ссылка	820c0c9f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_713					
				Ссылка	820c0c9e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_714					
				Ссылка	820c0c9d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_715					
				Ссылка	820c0c9c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_716					
				Ссылка	820c0c9b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_717					
				Ссылка	820c0c9a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_718					
				Ссылка	820c0c99-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_719					
				Ссылка	820c0c98-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_720					
				Ссылка	820c0c97-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_721					
				Ссылка	820c0c96-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_722					
				Ссылка	820c0c95-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_723					
				Ссылка	820c0c94-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_724					
				Ссылка	820c0c93-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_725					
				Ссылка	820c0c92-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_726					
				Ссылка	820c0c91-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_727					
				Ссылка	820c0c90-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_728					
				Ссылка	820c0c8f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_729					
				Ссылка	820c0c8e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_730					
				Ссылка	820c0c8d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_731					
				Ссылка	820c0c8c-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_732					
				Ссылка	820c0c8b-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_733					
				Ссылка	820c0c8a-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_734					
				Ссылка	820c0c89-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_735					
				Ссылка	820c0c88-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_736					
				Ссылка	820c0c87-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_737					
				Ссылка	820c0c86-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_738					
				Ссылка	820c0c85-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_739					
				Ссылка	820c0c84-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_740					
				Ссылка	820c0c83-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_741					
				Ссылка	820c0c82-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_742					
				Ссылка	820c0c81-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_743					
				Ссылка	820c0c80-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_744					
				Ссылка	820c0c7f-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_745					
				Ссылка	820c0c7e-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
Справочник	Справочник1	ТестовыйЭлемент_746					
				Ссылка	820c0c7d-44d4-11e6-82d9-ec0ec4241992		
				Наименование	Тестовый элемент		
